cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Amul Processed Cheese,"cow, water buffalo",India,Cheddar,"hard, processed",High,"crumbly, dense",artificial,yellow,"buttery, creamy, salty","earthy, pungent",True,False
Anari,"goat, sheep",Cyprus,Cheddar,"fresh soft, hard, artisan",High,"brittle, creamy, flaky",natural,white,"creamy, mild, salty","floral, fresh, herbal, perfumed, woody",True,False
Anniversary Ale Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,"dense, firm",rindless,pale yellow,"creamy, mild, sweet","floral, fruity",True,False
Anster,cow,Scotland,Cheddar,"semi-hard, artisan",High,"crumbly, dry",natural,ivory,milky,"milky, rich",False,False
Appenzeller,cow,Switzerland,Cheddar,"hard, artisan",High,firm,washed,white,"fruity, nutty",strong,False,False
Apple Walnut Smoked,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",natural,yellow,"nutty, smokey , sweet","nutty, smokey, sweet",True,False
Appleby's Double Gloucester,cow,"England, Great Britain, United Kingdom",Cheddar,"hard, artisan",High,"crumbly, dense, firm, flaky, smooth",natural,golden yellow,"mellow, milky, nutty, subtle, tangy","subtle, sweet",True,False
Applewood,cow,"England, Great Britain, United Kingdom",Cheddar,semi-hard,High,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,True,False
Ardsallagh Hard Goat's Cheese,goat,Ireland,Cheddar,"semi-hard, artisan",High,"firm, smooth",natural,white,"nutty, salty, smooth","lactic, milky",True,False
Ardsallagh Smoked Cheese,goat,Ireland,Cheddar,"semi-hard, artisan",High,"firm, smooth",natural,white,"mild, nutty, smokey , sweet","aromatic, herbal",True,False
Armenian String Cheese,"cow, goat, sheep",Armenia,Cheddar,semi-soft,High,"creamy, smooth, springy",rindless,white,mild,"fresh, herbal",False,False
Aromes au Gene de Marc,"cow, goat",France,Cheddar,"semi-soft, artisan",High,"creamy, flaky",natural,white,strong,"fermented, pungent",False,False
Aubisque Pyrenees,"cow, sheep",France,Cheddar,semi-hard,High,smooth,natural,white,"mild, smooth",aromatic,False,False
Auld Lochnagar,cow,Scotland,Cheddar,hard,High,"compact, crumbly",natural,orange,"grassy, mellow, subtle, tangy",mild,False,False
Austrian Alps cheese,cow,Switzerland,Cheddar,"fresh soft, artisan",High,smooth,rindless,white,"nutty, spicy","aromatic, nutty, spicy",False,False
Autun,"cow, goat",France,Cheddar,"fresh soft, artisan",High,creamy,rindless,white,acidic,"fresh, herbal",False,False
Avonlea Clothbound Cheddar,cow,Canada,Cheddar,"hard, artisan",High,"creamy, crumbly, firm",cloth wrapped,straw,"fruity, mushroomy, savory","fresh, goaty",True,False
Babybel,cow,France,Cheddar,semi-hard,High,smooth,waxed,yellow,tangy,"herbal, mild, milky",True,False
Baguette Laonnaise,cow,France,Cheddar,"soft, artisan",High,"open, supple",washed,pale yellow,spicy,pungent,False,False
Balaton,cow,Hungary,Cheddar,semi-hard,High,firm,natural,pale yellow,"acidic, mild",goaty,False,False
Baluchon,cow,Canada,Cheddar,semi-soft,High,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild",False,False
Barber's 1833,cow,England,Cheddar,hard,High,creamy,bloomy,pale yellow,"sweet, tangy",spicy,True,False
Barely Buzzed,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",natural,pale yellow,"butterscotch, caramel","aromatic, rich",True,False
Barry's Bay Cheddar,cow,New Zealand,Cheddar,"hard, artisan",High,creamy,cloth wrapped,white,"lemony, mild, milky",spicy,False,False
Batzos,"goat, sheep",Greece,Cheddar,semi-hard,High,dry,bloomy,white,"piquant, salty, sour, spicy",pleasant,False,False
Bavarian Bergkase,cow,Germany,Cheddar,"hard, artisan",High,"crumbly, firm, open",natural,pale yellow,"full-flavored, nutty, spicy","aromatic, rich",False,False
Baylough,cow,Ireland,Cheddar,"hard, artisan",High,"close, firm",waxed,yellow,"garlicky, herbaceous, mild, smokey","herbal, mild",True,False
Beaufort,cow,France,Cheddar,semi-firm,High,"creamy, smooth",rindless,pale yellow,"buttery, nutty","fruity, nutty",False,False
Beaumont,cow,France,Cheddar,semi-soft,High,"creamy, smooth",washed,pale yellow,"smooth, spicy","barnyardy, earthy, mild, nutty, rich",True,False
Beauvoorde,cow,Belgium,Cheddar,semi-hard,High,"creamy, firm",natural,yellow,mild,spicy,True,False
Bega Processed Cheddar,cow,Australia,Cheddar,soft,High,"creamy, smooth",bloomy,yellow,creamy,"aromatic, earthy, mushroom",False,False
Bergues,cow,France,Cheddar,semi-hard,High,smooth,washed,pale yellow,"subtle, sweet",aromatic,False,False
Bermondsey Hard Pressed,cow,"England, Great Britain, United Kingdom",Cheddar,"hard, artisan",High,"creamy, crumbly, open",natural,yellow,"creamy, nutty",barnyardy,False,False
Bethmale des Pyrenees,cow,France,Cheddar,semi-hard,High,"crumbly, smooth",natural,brownish yellow,mild,"aromatic, earthy, mushroom",False,False
Big John's Cajun,cow,United States,Cheddar,"hard, artisan",High,"creamy, smooth",natural,pale yellow,"smooth, spicy","rich, spicy",True,False
Bijou,goat,United States,Cheddar,"semi-soft, artisan",High,"creamy, smooth",mold ripened,yellow,"sharp, sweet, tangy, yeasty","fresh, yeasty",True,False
Bismark,sheep,United States,Cheddar,"semi-hard, artisan",High,"crumbly, firm",rindless,yellow,"buttery, creamy, nutty, sweet, tangy",mushroom,True,False
Black Bomber Cheddar,cow,United Kingdom,Cheddar,hard,High,"buttery, compact, creamy, crumbly",natural,yellow,"floral, herbaceous, sweet",rich,False,False
Black Pearl,goat,Australia,Cheddar,"semi-hard, artisan",High,firm,ash coated,white,mild,fresh,True,False
Blaenafon Pwll Ddu,cow,Wales,Cheddar,hard,High,compact,natural,cream,savory,"earthy, grassy, raw nut, subtle",True,False
Blenda,"cow, sheep",Sweden,Cheddar,"hard, artisan",High,"creamy, open, smooth",natural,yellow,"acidic, fruity, mild, nutty",buttery,False,False
Blissful Blocks,goat,"Canada, United States",Cheddar,hard,High,"creamy, crumbly",plastic,yellow,"creamy, savory, sharp, spicy",mild,True,False
Blue Ledge La Luna,goat,United States,Cheddar,"semi-hard, artisan",High,"firm, smooth",waxed,white,"creamy, milky, tangy",grassy,False,False
Boivin Extra Aged Cheddar,cow,Canada,Cheddar,hard,High,"firm, smooth",rindless,straw,"acidic, buttery",herbal,True,False
Boivin Marbled Cheddar,cow,Canada,Cheddar,"semi-soft, processed",High,"firm, smooth",rindless,golden orange,"mild, salty, sweet",buttery,False,False
Boivin Medium Cheddar,cow,Canada,Cheddar,semi-hard,High,"firm, smooth",rindless,pale yellow,"acidic, buttery","mushroom, spicy",False,False
Bootlegger,"cow, sheep","Canada, Italy",Cheddar,"hard, artisan",High,"crumbly, firm",natural,pale yellow,"fruity, full-flavored, strong",floral,True,False
Bothwell Black Truffle Cheddar,cow,Canada,Cheddar,semi-hard,High,firm,rindless,pale yellow,"earthy, fruity","buttery, rich",True,False
Bouncing Berry,cow,United Kingdom,Cheddar,hard,High,creamy,waxed,pale yellow,fruity,"aromatic, fresh",False,False
Braudostur,cow,Iceland,Cheddar,semi-hard,High,dense,mold ripened,cream,sweet,strong,False,False
Breakfast Cheese,cow,United States,Cheddar,"fresh firm, soft-ripened",High,"dense, firm",rindless,white,"citrusy, tangy",fresh,True,False
Brightwell Ash,goat,United Kingdom,Cheddar,"semi-firm, artisan",High,smooth,ash coated,pale white,"citrusy, nutty, tangy",mild,True,False
Broncha,"cow, goat",United States,Cheddar,"semi-hard, artisan",High,creamy,mold ripened,straw,"creamy, mild","mild, nutty, smokey, yeasty",False,False
Buff Blue,buffalo,United States,Cheddar,"firm, blue-veined",High,"creamy, smooth, spreadable",natural,blue,smokey,"earthy, smokey",True,False
Burgos,"cow, sheep",Spain,Cheddar,fresh soft,High,creamy,rindless,white,"mild, milky",fresh,False,False
Burwood Bole,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-hard, artisan",High,firm,washed,pale yellow,"lemony, nutty, sweet",aromatic,True,False
Butte,cow,France,Cheddar,"soft, soft-ripened",High,smooth,washed,yellow,"bitter, salty","rich, ripe",False,False
Butterkase,cow,"Austria, Germany",Cheddar,semi-soft,High,"creamy, smooth, spreadable",natural,pale yellow,"buttery, mild",fresh,False,False
Butternut,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, firm",natural,pale yellow,"buttery, nutty","earthy, mushroom",False,False
Cabecou Feuille D'Armagnac,goat,France,Cheddar,"fresh soft, artisan",High,smooth,natural,white,"fruity, spicy, tangy",aromatic,False,False
Cachaille,goat,France,Cheddar,soft,High,"crumbly, crystalline, firm, smooth",natural,cream,"bitter, buttery, mild, milky, salty","earthy, grassy",False,False
Caciotta,"cow, goat, sheep, water buffalo",Italy,Cheddar,"semi-soft, artisan",High,"compact, firm",natural,golden yellow,mild,"fresh, lactic",True,False
Cacow Belle,cow,United States,Cheddar,"semi-soft, artisan",High,"creamy, smooth",natural,pale yellow,"savory, spicy, sweet","aromatic, spicy",True,False
Caerphilly,cow,"United Kingdom, Wales",Cheddar,hard,High,"crumbly, dense",natural,white,"citrusy, mild, tangy",fresh,False,False
Cahill's Irish Porter Cheddar,cow,Ireland,Cheddar,"semi-hard, artisan",High,firm,washed,brownish yellow,"full-flavored, tangy",rich,False,False
Cairnsmore,sheep,Scotland,Cheddar,"hard, artisan",High,"crumbly, open, smooth",natural,ivory,"burnt caramel, nutty, sweet",aromatic,True,False
Camembert,cow,France,Cheddar,"soft, artisan",High,"smooth, soft-ripened",natural,pale yellow,sweet,"buttery, rich",False,False
Camembert Calvados,cow,France,Cheddar,"soft, semi-soft",High,"creamy, smooth, springy",mold ripened,yellow,savory,"aromatic, fruity",False,False
Canadian Cheddar,"cow, goat, sheep",Canada,Cheddar,"hard, artisan, processed",High,"crumbly, open",natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong",False,False
Canastra cheese,cow,Brazil,Cheddar,artisan,High,creamy,natural,yellow,spicy,aromatic,True,False
Cantal,cow,France,Cheddar,"semi-hard, artisan",High,firm,natural,pale yellow,"acidic, herbaceous","barnyardy, herbal",False,False
Cape Vessey,goat,Canada,Cheddar,"semi-soft, artisan",High,"chewy, firm",washed,pale yellow,"acidic, creamy, subtle, sweet","goaty, rich, strong",False,False
Caprano,goat,Canada,Cheddar,"hard, semi-hard",High,"crumbly, open, smooth",natural,pale yellow,pronounced,"goaty, strong",True,False
Capriago,goat,United States,Cheddar,"hard, artisan, brined",High,firm,washed,pale yellow,"nutty, sweet","nutty, spicy",False,False
Caprotto,goat,Italy,Cheddar,"hard, artisan",High,compact,natural,straw,"sharp, spicy","floral, strong",False,False
Carabiner,cow,United States,Cheddar,"semi-hard, artisan",High,"dense, firm",natural,yellow,"nutty, salty, sweet",earthy,True,False
Carlow,cow,Ireland,Cheddar,"semi-hard, artisan",High,"firm, smooth",waxed,golden yellow,"mild, savory, spicy","earthy, nutty, smokey",True,False
Carnia Altobut,cow,Italy,Cheddar,"hard, artisan",High,"compact, elastic, firm, open",natural,pale yellow,"pronounced, strong, subtle","aromatic, floral",False,False
Carrick,cow,Scotland,Cheddar,"hard, organic",High,creamy,edible,cream,citrusy,earthy,True,False
Carrot Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,creamy,natural,orange,"creamy, fruity, nutty, sweet","aromatic, fruity, sweet",False,False
Castelo Branco,"goat, sheep",Portugal,Cheddar,"semi-soft, artisan",High,"brittle, creamy, crumbly, firm, smooth",natural,pale yellow,"sour, spicy, tangy",aromatic,True,False
Castigliano,"cow, goat, sheep",Spain,Cheddar,hard,High,firm,natural,yellow,"acidic, salty, spicy",rich,False,False
Cave Rebel,cow,Austria,Cheddar,"hard, artisan",High,"compact, crumbly, firm, open",natural,pale yellow,"creamy, grassy","aromatic, nutty",False,False
Cello Thick & Smooth Mascarpone,cow,United States,Cheddar,"fresh soft, processed",High,"buttery, creamy, firm, smooth",rindless,white,"creamy, milky, sweet","fresh, milky",False,False
Celtic Promise,cow,United Kingdom,Cheddar,"semi-soft, artisan",High,creamy,washed,yellow,full-flavored,pungent,True,False
Cerney Pyramid,goat,"England, Great Britain, United Kingdom",Cheddar,"fresh soft, artisan",High,creamy,natural,white,"citrusy, lemony, mild, sweet","grassy, sweet",True,False
Chabichou du Poitou,goat,France,Cheddar,"semi-soft, artisan",High,creamy,natural,white,"salty, sweet, tangy",goaty,True,False
Chabis de Gatine,goat,France,Cheddar,"soft, artisan",High,"firm, smooth",natural,white,"salty, sharp",goaty,False,False
Challerhocker,cow,Switzerland,Cheddar,hard,High,"creamy, dense, smooth",washed,pale yellow,"caramel, nutty, salty, sweet","nutty, sweet",False,False
Checkerboard Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,crumbly,natural,pale yellow,"sharp, sweet, tangy",pleasant,True,False
Cheddar,cow,England,Cheddar,hard,High,compact,natural,pale yellow,"creamy, sharp","fresh, lactic, pleasant",False,False
Cheddar LaDiDa Lavender,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, smooth",natural,white,"herbaceous, savory, subtle",earthy,True,False
Cheddar with Irish Porter,cow,Ireland,Cheddar,"semi-hard, artisan",High,smooth,rindless,pale yellow,"fruity, tangy","pungent, rich",False,False
Cheddar with Red Wine,cow,Ireland,Cheddar,"semi-hard, artisan",High,firm,natural,pale yellow,"fruity, tangy","fruity, rich",True,False
Cheese Curds,cow,"Canada, India, United States",Cheddar,fresh firm,High,"firm, springy",natural,white,"mild, milky",fresh,False,False
Cheshire,cow,United Kingdom,Cheddar,hard,High,"crumbly, dense",cloth wrapped,orange,earthy,"grassy, spicy",False,False
Chevre Log,goat,United States,Cheddar,fresh soft,High,"creamy, crumbly, smooth, spreadable",rindless,white,"citrusy, creamy","fresh, mild",True,False
Childwickbury,goat,"England, Great Britain, United Kingdom",Cheddar,"fresh soft, artisan",High,"creamy, smooth",natural,white,"citrusy, lemony, mild, milky","floral, fresh, mild, milky",True,False
Chilli Caciotta,"cow, sheep",Italy,Cheddar,"semi-soft, artisan",High,"creamy, smooth",rindless,white,spicy,"clean, lactic",True,False
Chocolate Lab,cow,United States,Cheddar,"hard, artisan",High,firm,washed,pale yellow,"pungent, sharp, sweet",rich,True,False
Chocolate Stout Cheddar,cow,United States,Cheddar,"semi-hard, artisan",High,firm,natural,pale yellow,"savory, sweet, tangy",buttery,True,False
Chèvre,goat,France,Cheddar,"fresh soft, artisan",High,compact,mold ripened,white,tangy,goaty,True,False
Chèvre des neiges,"cow, goat",Canada,Cheddar,fresh soft,High,"soft, spreadable, supple",rindless,white,"fruity, mild, nutty","aromatic, fresh, fruity",True,False
Coalho,cow,Brazil,Cheddar,semi-hard,High,"elastic, firm, springy",natural,yellow,"acidic, salty",fresh,False,False
Coastal Cheddar,cow,England,Cheddar,firm,High,"elastic, firm, open",rindless,pale yellow,"crunchy, sweet",nutty,False,False
Colby,cow,United States,Cheddar,semi-hard,High,"firm, open, springy",rindless,yellow,sweet,"mild, sweet",False,False
Colony cheese,cow,Brazil,Cheddar,"semi-hard, artisan",High,"creamy, open, soft, supple",natural,pale yellow,"creamy, pungent, spicy","lactic, pungent, spicy",False,False
Comte 12 months,cow,France,Cheddar,semi-hard,High,buttery,washed,yellow,milky,nutty,False,False
Comte 18 months,cow,France,Cheddar,hard,High,firm,natural,yellow,fruity,nutty,False,False
Conciato Al Pepe,cow,Italy,Cheddar,hard,High,"compact, crumbly",natural,pale yellow,"sharp, spicy",aromatic,False,False
Connemara,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, firm",natural,white,"fruity, mild","fruity, goaty, rich",True,False
Coolattin Cheddar,cow,Ireland,Cheddar,"hard, artisan",High,"crumbly, open",waxed,pale yellow,"fruity, nutty, sweet",herbal,False,False
Cornish Blue,cow,England,Cheddar,"semi-soft, artisan",High,"buttery, dense",leaf wrapped,white,"creamy, mild, sweet","buttery, mild, sweet",True,False
Cornish Crumbly,cow,England,Cheddar,"semi-soft, artisan",High,chalky,mold ripened,ivory,creamy,rich,True,False
Cornish Smuggler,cow,England,Cheddar,"semi-soft, artisan",High,creamy,mold ripened,ivory,creamy,rich,True,False
Cornish Wild Garlic Yarg,cow,England,Cheddar,"semi-firm, artisan",High,crumbly,leaf wrapped,pale yellow,garlicky,"garlicky, herbal",True,False
Cotherstone,cow,"England, United Kingdom",Cheddar,"semi-hard, artisan",High,"crumbly, open",waxed,pale yellow,"acidic, citrusy, tangy",fresh,True,False
Cougar Gold,cow,United States,Cheddar,semi-soft,High,"creamy, crumbly, crystalline, firm, smooth",rindless,white,"nutty, sharp",smokey,False,False
Country Morning,cow,Canada,Cheddar,"hard, artisan",High,"creamy, crumbly",natural,pale yellow,"nutty, sharp",strong,False,False
Coverdale,cow,"England, United Kingdom",Cheddar,"hard, artisan",High,"creamy, firm, open",natural,white,"buttery, lemony, mild, sharp","earthy, mushroom, rich",True,False
Cracked Pepper Chevre,goat,United States,Cheddar,"semi-soft, artisan",High,"creamy, crumbly, firm",rindless,white,"savory, spicy","clean, fresh",True,False
Cream Cheese,cow,United States,Cheddar,"fresh soft, processed",High,"creamy, spreadable",rindless,white,"creamy, mild, sweet","fresh, pleasant",True,False
Creamy Lancashire,cow,England,Cheddar,"semi-hard, artisan",High,fluffy,natural,pale yellow,creamy,grassy,True,False
Criollo Cheese,cow,Mexico,Cheddar,semi-firm,High,smooth,rindless,pale yellow,"savory, sharp",strong,False,False
Crowley,cow,United States,Cheddar,"semi-soft, hard, artisan",High,"creamy, crumbly, firm, smooth",cloth wrapped,pale yellow,"buttery, full-flavored, mild, savory, smokey , spicy, sweet, tangy","aromatic, fresh, mild, pleasant, smokey",False,False
Crucolo,cow,Italy,Cheddar,"semi-hard, artisan",High,buttery,rindless,ivory,"savory, sweet","mild, rich",False,False
Crumbly Lancashire,cow,England,Cheddar,hard,High,crumbly,plastic,pale yellow,acidic,"herbal, sweet",False,False
L'Amuse Brabander Goat Gouda,cow,Netherlands,Cheddar,hard,High,smooth,waxed,brownish yellow,"caramel, salty","buttery, nutty",True,False
La Couronne - Fort Aged Comté,cow,"France, Switzerland",Cheddar,semi-hard,High,dense,edible,pale yellow,"caramel, nutty, sweet",rich,False,False
LaClare Farms Chandoka,"cow, goat",United States,Cheddar,"semi-firm, artisan",High,creamy,natural,ivory,"fruity, tangy",fruity,True,False
LaClare Farms Cheddar,goat,United States,Cheddar,"semi-soft, artisan",High,creamy,washed,ivory,"mild, sweet, tangy","fruity, sweet",True,False
LaClare Farms Raw Goats Milk Cheddar,goat,United States,Cheddar,"semi-soft, artisan",High,creamy,natural,ivory,"mild, sweet, tangy","fruity, sweet",True,False
Laguiole,cow,France,Cheddar,"semi-hard, artisan",High,"creamy, firm, supple",natural,straw,"sharp, sour, tangy",aromatic,False,False
Lairobell,goat,"Scotland, United Kingdom",Cheddar,"hard, artisan",High,"crumbly, open",natural,pale yellow,"herbaceous, sweet",goaty,True,False
Lajta,cow,Hungary,Cheddar,soft,High,"creamy, open",washed,yellow,piquant,"aromatic, stinky, strong",False,False
Lake District Extra Mature Cheddar,cow,United Kingdom,Cheddar,"semi-soft, artisan",High,creamy,natural,pale yellow,sweet,rich,True,False
Lake District Mature Cheddar,cow,United Kingdom,Cheddar,"soft, artisan",High,"crumbly, dense",natural,pale yellow,"savory, sweet",fresh,True,False
Lancashire Smoked,cow,England,Cheddar,hard,High,"buttery, crumbly",natural,red,"acidic, nutty, smokey , tangy, woody","buttery, fresh, grassy, smokey",False,False
Landaff,cow,United States,Cheddar,"semi-hard, artisan",High,"creamy, firm, open",natural,straw,"mild, tangy",aromatic,False,False
Latteria Navel,cow,Italy,Cheddar,"hard, soft-ripened",High,brittle,natural,straw,full-flavored,aromatic,False,False
Laura Chenel Tome,goat,United States,Cheddar,"firm, artisan",High,"crumbly, dense, firm",cloth wrapped,ivory,"caramel, savory","rich, sweet",True,False
Lavistown,cow,Ireland,Cheddar,"semi-hard, artisan",High,"crumbly, dry, firm",natural,yellow,"creamy, mild, milky, tangy, vegetal",mushroom,True,False
Le Conquerant Camembert,cow,France,Cheddar,"soft, artisan",High,soft-ripened,waxed,white,"fruity, yeasty",rich,False,False
Le Fium Orbo,"goat, sheep",France,Cheddar,soft,High,soft-ripened,natural,white,"earthy, meaty, sweet",pungent,False,False
Le Gruyère AOP,cow,Switzerland,Cheddar,hard,High,compact,rindless,white,sweet,earthy,False,False
Le Marquis Chevre,goat,France,Cheddar,"soft, artisan",High,soft,natural,ivory,"lemony, tangy",mild,True,False
Le Maréchal,cow,Switzerland,Cheddar,hard,High,"firm, smooth",natural,yellow,"buttery, creamy, floral, herbaceous","buttery, floral, grassy, herbal",False,False
Le Moutier,goat,Canada,Cheddar,fresh firm,High,firm,natural,white,sweet,"fresh, milky, rich, sweet",False,False
Le St-Raymond,cow,Canada,Cheddar,soft,High,"smooth, supple",washed,ivory,"fruity, nutty, woody",fresh,True,False
Liburnski Sir,"cow, goat, sheep",Croatia,Cheddar,"hard, artisan",High,"creamy, open",natural,golden yellow,"creamy, earthy, nutty, tart","buttery, clean, goaty, mild",True,False
Liliputas,cow,Lithuania,Cheddar,semi-hard,High,"elastic, firm",waxed,yellow,milky,"fresh, lactic",False,False
Lincolnshire Poacher,cow,England,Cheddar,hard,High,creamy,rindless,yellow,"nutty, sweet",earthy,True,False
Lingot Saint Bousquet d'Orb,goat,France,Cheddar,"soft, artisan",High,smooth,natural,white,sweet,herbal,False,False
Liptauer,cow,United States,Cheddar,"fresh soft, artisan",High,"brittle, crumbly, dense, flaky",rindless,brown,"garlicky, savory, spicy, sweet","garlicky, spicy",True,False
Little Colonel,cow,"England, Great Britain, United Kingdom",Cheddar,"semi-soft, artisan",High,"smooth, supple",washed,pale yellow,spicy,pungent,True,False
Little Napoleon,goat,United States,Cheddar,"hard, artisan",High,firm,mold ripened,pale yellow,"acidic, savory","goaty, pungent",False,False
Llanboidy,cow,Wales,Cheddar,"hard, artisan",High,"firm, smooth",natural,white,"buttery, spicy","grassy, sweet",False,False
Llanglofan Farmhouse,cow,"Great Britain, United Kingdom, Wales",Cheddar,"hard, artisan",High,"crumbly, firm, smooth",natural,yellow,"citrusy, savory, smokey , spicy","lactic, smokey",True,False
Loch Arthur Farmhouse,cow,Scotland,Cheddar,hard,High,firm,natural,pale yellow,nutty,clean,True,False
Loddiswell Avondale,goat,England,Cheddar,semi-soft,High,"creamy, elastic, smooth, soft, stringy, supple",washed,orange,sweet,goaty,False,False
Longhorn,cow,United States,Cheddar,semi-hard,High,"firm, open, springy",rindless,orange,"mild, sweet",mushroom,False,False
Lou Palou,cow,France,Cheddar,semi-soft,High,"elastic, smooth",washed,pale yellow,"nutty, strong",pleasant,False,False
Lunetta,cow,"Canada, Italy",Cheddar,"fresh soft, artisan",High,creamy,natural,white,"creamy, salty","aromatic, fresh",True,False
